Network Latency (ms),Packet Loss (%),Jitter (ms),Authentication Failures,Command Rate (per min),CPU Usage (%),Memory Usage (%),Unexpected Commands,Encryption Errors,Session Duration (min),Threat Detected
45,0.2,3,0,12,42,50,0,0,30,0
52,0.5,4,1,15,48,55,0,0,35,0
68,0.8,6,1,18,55,60,1,0,40,0
75,1.2,8,2,22,62,65,1,0,45,0
110,3.5,15,4,35,82,78,3,1,60,1
135,5.2,22,6,45,91,88,5,2,75,1
150,6.5,25,8,52,94,92,7,3,90,1
125,4.8,19,5,40,87,84,4,2,68,1
58,0.4,5,0,14,45,52,0,0,32,0
82,1.5,9,2,24,65,68,1,0,48,0
142,5.8,24,7,48,93,90,6,3,82,1
48,0.3,3,0,10,38,48,0,0,25,0
95,2.1,12,3,28,72,74,2,1,55,1
62,0.7,5,1,16,50,57,0,0,38,0
118,3.9,17,4,37,84,81,3,1,64,1
70,1.0,7,1,20,58,62,1,0,42,0
155,7.0,28,9,55,96,94,8,4,95,1
55,0.2,4,0,13,44,51,0,0,28,0
105,2.8,14,3,31,76,72,2,1,58,1
65,0.6,6,1,17,52,59,0,0,36,0
